time,AROONOSC

2017-05-25,100.0000

2017-05-24,60.0000

2017-05-23,-20.0000

2017-05-22,-40.0000

2017-05-19,-40.0000

2017-05-18,-40.0000

2017-05-17,-100.0000

2017-05-16,20.0000

2017-05-15,40.0000

2017-05-12,40.0000

2017-05-11,40.0000

2017-05-10,40.0000

2017-05-09,-80.0000

2017-05-08,-100.0000

2017-05-05,-100.0000

2017-05-04,-40.0000

2017-05-03,-80.0000

2017-05-02,-80.0000

2017-05-01,40.0000

2017-04-28,60.0000

2017-04-27,80.0000

2017-04-26,100.0000

2017-04-25,80.0000

2017-04-24,-40.0000

2017-04-21,-40.0000

2017-04-20,-80.0000

2017-04-19,-80.0000

2017-04-18,-60.0000

2017-04-17,-20.0000

2017-04-13,-20.0000

2017-04-12,-80.0000

2017-04-11,-80.0000

2017-04-10,40.0000

2017-04-07,60.0000

2017-04-06,60.0000

2017-04-05,60.0000

2017-04-04,40.0000

2017-04-03,100.0000

2017-03-31,80.0000

2017-03-30,-20.0000

2017-03-29,-60.0000

2017-03-28,-80.0000

2017-03-27,-100.0000

2017-03-24,-80.0000

2017-03-23,-100.0000

2017-03-22,20.0000

2017-03-21,20.0000

2017-03-20,20.0000

2017-03-17,80.0000

2017-03-16,100.0000

2017-03-15,80.0000

2017-03-14,100.0000

2017-03-13,100.0000

2017-03-10,80.0000

2017-03-09,40.0000

2017-03-08,40.0000

2017-03-07,20.0000

2017-03-06,-100.0000

2017-03-03,-100.0000

2017-03-02,-100.0000

2017-03-01,-40.0000

2017-02-28,-40.0000

2017-02-27,40.0000

2017-02-24,40.0000

2017-02-23,80.0000

2017-02-22,100.0000

2017-02-21,100.0000

2017-02-17,60.0000

2017-02-16,60.0000

2017-02-15,100.0000

2017-02-14,40.0000

2017-02-13,80.0000

2017-02-10,80.0000

2017-02-09,100.0000

2017-02-08,-20.0000

2017-02-07,-20.0000

2017-02-06,-60.0000

2017-02-03,-80.0000

2017-02-02,-100.0000

2017-02-01,-80.0000

2017-01-31,-60.0000

2017-01-30,-40.0000

2017-01-27,80.0000

2017-01-26,100.0000

2017-01-25,100.0000

2017-01-24,100.0000

2017-01-23,80.0000

2017-01-20,100.0000

2017-01-19,100.0000

2017-01-18,100.0000

2017-01-17,100.0000

2017-01-13,100.0000

2017-01-12,100.0000

2017-01-11,100.0000

2017-01-10,100.0000

2017-01-09,100.0000

2017-01-06,100.0000

2017-01-05,100.0000

2017-01-04,80.0000

2017-01-03,100.0000

2016-12-30,80.0000

2016-12-29,80.0000

2016-12-28,40.0000

2016-12-27,40.0000

2016-12-23,-80.0000

2016-12-22,-100.0000

2016-12-21,20.0000

2016-12-20,20.0000

2016-12-19,-40.0000

2016-12-16,-60.0000

2016-12-15,-80.0000

2016-12-14,-100.0000

2016-12-13,-80.0000

2016-12-12,-60.0000

2016-12-09,60.0000

2016-12-08,-20.0000

2016-12-07,-40.0000

2016-12-06,-60.0000

2016-12-05,-80.0000

2016-12-02,-100.0000

2016-12-01,-80.0000

2016-11-30,-60.0000

2016-11-29,60.0000

2016-11-28,80.0000

2016-11-25,100.0000

2016-11-23,80.0000

2016-11-22,80.0000

2016-11-21,60.0000

2016-11-18,40.0000

2016-11-17,20.0000

2016-11-16,40.0000

2016-11-15,40.0000

2016-11-14,40.0000

2016-11-11,100.0000

2016-11-10,100.0000

2016-11-09,80.0000

2016-11-08,40.0000

2016-11-07,40.0000

2016-11-04,-80.0000

2016-11-03,-100.0000

2016-11-02,-100.0000

2016-11-01,-80.0000

2016-10-31,-100.0000

2016-10-28,-60.0000

2016-10-27,-100.0000

2016-10-26,-80.0000

2016-10-25,-60.0000

2016-10-24,60.0000

2016-10-21,60.0000

2016-10-20,60.0000

2016-10-19,40.0000

2016-10-18,20.0000

2016-10-17,-20.0000

2016-10-14,20.0000

2016-10-13,-40.0000

2016-10-12,20.0000

2016-10-11,20.0000

2016-10-10,-60.0000

2016-10-07,40.0000

2016-10-06,40.0000

2016-10-05,-60.0000

2016-10-04,-60.0000

2016-10-03,-60.0000

2016-09-30,60.0000

2016-09-29,-20.0000

2016-09-28,-20.0000

2016-09-27,-60.0000

2016-09-26,-80.0000

2016-09-23,-80.0000

2016-09-22,40.0000

2016-09-21,60.0000

2016-09-20,80.0000

2016-09-19,100.0000

2016-09-16,80.0000

2016-09-15,-40.0000

2016-09-14,-60.0000

2016-09-13,-60.0000

2016-09-12,-60.0000

2016-09-09,60.0000

2016-09-08,80.0000

2016-09-07,100.0000

2016-09-06,100.0000

2016-09-02,40.0000

2016-09-01,60.0000

2016-08-31,80.0000

2016-08-30,100.0000

2016-08-29,40.0000

2016-08-26,40.0000

2016-08-25,80.0000

2016-08-24,100.0000

2016-08-23,80.0000

2016-08-22,-40.0000

2016-08-19,-60.0000

2016-08-18,-80.0000

2016-08-17,-80.0000

2016-08-16,40.0000

2016-08-15,60.0000

2016-08-12,80.0000

2016-08-11,100.0000

2016-08-10,60.0000

2016-08-09,60.0000

2016-08-08,40.0000

2016-08-05,40.0000

2016-08-04,-20.0000

2016-08-03,0.0000

2016-08-02,20.0000

2016-08-01,40.0000

2016-07-29,60.0000

2016-07-28,60.0000

2016-07-27,60.0000

2016-07-26,-20.0000

2016-07-25,-20.0000

2016-07-22,80.0000

2016-07-21,80.0000

2016-07-20,-40.0000

2016-07-19,-60.0000

2016-07-18,-60.0000

2016-07-15,-60.0000

2016-07-14,60.0000

2016-07-13,60.0000

2016-07-12,60.0000

2016-07-11,100.0000

2016-07-08,100.0000

2016-07-07,60.0000

2016-07-06,80.0000

2016-07-05,100.0000

2016-07-01,100.0000

2016-06-30,80.0000

2016-06-29,60.0000

2016-06-28,40.0000

2016-06-27,-40.0000

2016-06-24,-40.0000

2016-06-23,60.0000

2016-06-22,60.0000

2016-06-21,-60.0000

2016-06-20,-80.0000

2016-06-17,-100.0000

2016-06-16,-100.0000

2016-06-15,20.0000

2016-06-14,20.0000

2016-06-13,20.0000

2016-06-10,20.0000

2016-06-09,20.0000

2016-06-08,0.0000

2016-06-07,20.0000

2016-06-06,40.0000

2016-06-03,40.0000

2016-06-02,80.0000

2016-06-01,100.0000

2016-05-31,80.0000

2016-05-27,60.0000

2016-05-26,20.0000

2016-05-25,40.0000

2016-05-24,60.0000

2016-05-23,-20.0000

2016-05-20,-40.0000

2016-05-19,-60.0000

2016-05-18,-60.0000

2016-05-17,-60.0000

2016-05-16,60.0000

2016-05-13,60.0000

2016-05-12,60.0000

2016-05-11,100.0000

2016-05-10,80.0000

2016-05-09,0.0000

